Date,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes
11/6/2020,Company - 2,,1500,credit,Paycheck - Source 2,,,
11/5/2020,Company - 1,,1500,credit,Paycheck - Source 1,,,
11/4/2020,Venmo,,30,debit,Vacation,,,
11/3/2020,Grocery Store,,139.42,debit,Groceries,,,
11/3/2020,CHICKEN INSIDER ,,14.05,debit,Work Lunch & Takeout,,,
11/3/2020,Bistro,,5.72,debit,Work Lunch & Takeout,,,
11/3/2020,Café,,7.2,debit,Work Lunch & Takeout,,,
11/3/2020,Amazon web services,,1.04,debit,Subscriptions,,,
11/3/2020,Amazon web services,,5.68,debit,Subscriptions,,,
11/3/2020,XYZ Financial Firm,,500,debit,Investment - Source 1,,,
11/3/2020,Amazon,,36.97,credit,Shopping,,,
11/3/2020,Express,,24,debit,Clothing,,,
11/3/2020,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
11/2/2020,"Spice Grill, ",,17.83,debit,Work Lunch & Takeout,,,
11/2/2020,PayPal,,4.99,debit,Subscriptions,,,
11/2/2020,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
11/1/2020,Check Piad,,2000,debit,Rent,,,
11/1/2020,FLIXBUSUS LOS ANGELES,,52.23,debit,Vacation,,,
11/1/2020,Pho Shop,,31.4,debit,Work Lunch & Takeout,,,
11/1/2020,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
11/1/2020,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
10/30/2020,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
10/30/2020,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
10/30/2020,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
10/30/2020,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
10/29/2020,Company - 1,,1500,credit,Paycheck - Source 1,,,
10/28/2020,Spotify,,15.94,debit,Subscriptions,,,
10/28/2020,Wine & Spirits,,20.16,debit,Liquor Store,,,
10/28/2020,Verizon Wireless,,84.04,debit,Mobile Phone,,,
10/27/2020,METROCARD,,3,debit,Transportation,,,
10/27/2020,Xi'an Famous Foods,,33.36,debit,Work Lunch & Takeout,,,
10/27/2020,Dunkin Donuts,,6.5,debit,Work Lunch & Takeout,,,
10/27/2020,Express,,34.8,debit,Clothing,,,
10/26/2020,Landromat,,26.45,debit,Laundromat,,,
10/26/2020,"WOK  ON THIRD,  ",,21.15,debit,Work Lunch & Takeout,,,
10/26/2020,Amazon,,25.91,debit,Shopping,,,
10/25/2020,CORNER BAKERY,,19,debit,Work Lunch & Takeout,,,
10/25/2020,CHICKEN INSIDER ,,29.36,debit,Work Lunch & Takeout,,,
10/25/2020,MEDIUM MONTHLY,,5,debit,Subscriptions,,,
10/24/2020,CVS,,2.65,debit,Medical & Health,,,
10/24/2020,House of Que,,158.55,debit,Restaurants,,,
10/24/2020,CHICKEN INSIDER ,,9.79,debit,Work Lunch & Takeout,,,
10/24/2020,Levain Bakery,,8,debit,Work Lunch & Takeout,,,
10/23/2020,Company - 2,,1500,credit,Paycheck - Source 2,,,
10/22/2020,BLINK    ,,95.2,debit,Subscriptions,,,
10/21/2020,"Spice Grill, ",,18.97,debit,Work Lunch & Takeout,,,
10/21/2020,Taco Bell,,19.35,debit,Work Lunch & Takeout,,,
10/21/2020,Express,,72.79,credit,Clothing,,,
10/21/2020,Amazon,,36.97,debit,Shopping,,,
10/21/2020,Amazon,,12.07,debit,Shopping,,,
10/21/2020,Amazon,,54.96,debit,Shopping,,,
10/20/2020,CRUNCHYROLL,,8.49,debit,Subscriptions,,,
10/20/2020,SPECTRUM WOODSIDE ,,49.99,debit,Internet,,,
10/19/2020,Bistro,,11.43,debit,Work Lunch & Takeout,,,
10/19/2020,"WOK  ON THIRD,  ",,21.15,debit,Work Lunch & Takeout,,,
10/19/2020,PayPal,,10.89,debit,Subscriptions,,,
10/19/2020,XYZ Financial Firm,,500,debit,Investment - Source 1,,,
10/19/2020,XYZ Financial Firm,,500,debit,Investment - Source 2,,,
10/17/2020,Dunkin Donuts,,7.29,debit,Work Lunch & Takeout,,,
10/15/2020,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
10/15/2020,Express,,19.99,debit,Clothing,,,
10/15/2020,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
10/15/2020,ConEd,,120.77,debit,Utilities,,,
10/15/2020,Company - 1,,1500,credit,Paycheck - Source 1,,,
10/14/2020,Express,,111.6,debit,Clothing,,,
10/13/2020,Grocery Store,,62.72,debit,Groceries,,,
10/13/2020,Bistro,,11.43,debit,Work Lunch & Takeout,,,
10/13/2020,Domino's Pizza,,23.92,debit,Work Lunch & Takeout,,,
10/13/2020,Old Navy,,59.98,debit,Clothing,,,
10/13/2020,Steam Games,,5.32,debit,Entertainment,,,
10/13/2020,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
10/12/2020,Bistro,,11.43,debit,Work Lunch & Takeout,,,
10/12/2020,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
10/11/2020,BARKING DOG ,,49.54,debit,Restaurants,,,
10/11/2020,MACAO IMPERIAL TEA ,,5.99,debit,Work Lunch & Takeout,,,
10/11/2020,Amazon web services,,11.94,debit,Subscriptions,,,
10/11/2020,Uber.com,,22,debit,Transportation,,,
10/10/2020,Wine & Spirits,,13.11,debit,Liquor Store,,,
10/10/2020,CORNER BAKERY,,17.31,debit,Work Lunch & Takeout,,,
10/9/2020,Hair Salon,,54.44,debit,Personal Care,,,
10/9/2020,Ollies To Go,,14.1,debit,Work Lunch & Takeout,,,
10/9/2020,Pizza City Corp.,,7,debit,Work Lunch & Takeout,,,
10/9/2020,Ollies To Go,,32.61,debit,Work Lunch & Takeout,,,
10/9/2020,CVS,,9.8,debit,Medical & Health,,,
10/9/2020,Company - 2,,1500,credit,Paycheck - Source 2,,,
10/8/2020,Ally Interest Paid,,0.32,credit,Interest Income,,,
10/8/2020,ATM Fee Reimbursement,,6,credit,ATM Fee,,,
10/8/2020,Ally Interest Paid,,3.64,credit,Interest Income,,,
10/8/2020,Steam Games,,5.32,debit,Entertainment,,,
10/7/2020,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
10/7/2020,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
10/6/2020,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
10/6/2020,"WOK  ON THIRD,  ",,20.15,debit,Work Lunch & Takeout,,,
10/6/2020,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
10/5/2020,DSW Designer Shoe Warehouse,,54.96,debit,Clothing,,,
10/5/2020,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
10/5/2020,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
10/5/2020,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
10/5/2020,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
10/4/2020,Grocery Store,,24.7,debit,Groceries,,,
10/4/2020,Landromat,,27.5,debit,Laundromat,,,
10/3/2020,Amazon web services,,1.04,debit,Subscriptions,,,
10/3/2020,CORRADO BAKERY ,,9,debit,Work Lunch & Takeout,,,
10/3/2020,Amazon web services,,0.33,debit,Subscriptions,,,
10/2/2020,Chick-Fil-A,,10.1,debit,Work Lunch & Takeout,,,
10/2/2020,Cash Back Rewards,,31.31,credit,Cash Back Rewards,,,
10/1/2020,Check Piad,,2000,debit,Rent,,,
10/2/2020,Amazon,,43.54,credit,Shopping,,,
10/1/2020,PIG HEAVEN ,,60.01,debit,Restaurants,,,
10/1/2020,BLINK MOTO    ,,28.22,debit,Subscriptions,,,
10/1/2020,PayPal,,4.99,debit,Subscriptions,,,
10/1/2020,Company - 1,,1500,credit,Paycheck - Source 1,,,
9/30/2020,CVS,,3.79,debit,Medical & Health,,,
9/29/2020,PayPal,,39.95,debit,Subscriptions,,,
9/29/2020,XYZ Financial Firm,,500,debit,Investment - Source 1,,,
9/29/2020,XYZ Financial Firm,,500,debit,Investment - Source 2,,,
9/29/2020,Verizon Wireless,,84,debit,Mobile Phone,,,
9/28/2020,Spotify,,15.94,debit,Subscriptions,,,
9/28/2020,Grocery Store,,84.51,debit,Groceries,,,
9/28/2020,Uber.com,,14.82,debit,Transportation,,,
9/28/2020,Uber.com,,10,debit,Transportation,,,
9/28/2020,Williamsburg Pizza II ,,33.03,debit,Work Lunch & Takeout,,,
9/27/2020,Cash Back Rewards,,95.44,credit,Cash Back Rewards,,,
9/27/2020,MEDIUM MONTHLY,,5,debit,Subscriptions,,,
9/26/2020,JOLLIBEE  ,,11.42,debit,Work Lunch & Takeout,,,
9/25/2020,"Spice Grill, ",,8.92,debit,Work Lunch & Takeout,,,
9/25/2020,Maki Maki,,4.36,debit,Work Lunch & Takeout,,,
9/25/2020,Dunkin Donuts,,3.18,debit,Work Lunch & Takeout,,,
9/25/2020,Company - 2,,1500,credit,Paycheck - Source 2,,,
9/24/2020,CVS,,2.06,debit,Medical & Health,,,
9/24/2020,Café,,1.95,debit,Work Lunch & Takeout,,,
9/24/2020,Amazon,,137.55,debit,Gift,,,
9/23/2020,Amazon,,56.23,debit,Shopping,,,
9/22/2020,Bistro,,10.34,debit,Work Lunch & Takeout,,,
9/21/2020,Grocery Store,,58.84,debit,Groceries,,,
9/21/2020,MONTCLAIR PARKING - ITS,,1.5,debit,Service Fee,,,
9/21/2020,Wine & Spirits,,15.92,debit,Liquor Store,,,
9/21/2020,Café,,1,debit,Work Lunch & Takeout,,,
9/21/2020,Café,,9.25,debit,Work Lunch & Takeout,,,
9/21/2020,"Spice Grill, ",,22.95,debit,Work Lunch & Takeout,,,
9/20/2020,CVS,,7.29,debit,Medical & Health,,,
9/20/2020,SPECTRUM WOODSIDE ,,49.99,debit,Internet,,,
9/19/2020,Skydiving,,1020,debit,Vacation,,,
9/19/2020,Shop Rite,,57.54,debit,Liquor Store,,,
9/19/2020,CVS,,12.07,debit,Medical & Health,,,
9/19/2020,CRUNCHYROLL,,8.49,debit,Subscriptions,,,
9/19/2020,AOZORA MONTCLAIR ,,82.91,debit,Restaurants,,,
9/19/2020,Gong Cha,,5.33,debit,Work Lunch & Takeout,,,
9/19/2020,ATM Fee,,3,debit,ATM Fee,,,
9/19/2020,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
9/19/2020,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
9/18/2020,Taco Dumbo,,9.8,debit,Work Lunch & Takeout,,,
9/18/2020,"WOK  ON THIRD,  ",,11.35,debit,Work Lunch & Takeout,,,
9/17/2020,Company - 1,,1500,credit,Paycheck - Source 1,,,
9/16/2020,Amazon,,43.54,debit,Shopping,,,
9/15/2020,BLINK MOTO    ,,27.27,debit,Subscriptions,,,
9/15/2020,CHICKEN INSIDER ,,14.35,debit,Work Lunch & Takeout,,,
9/15/2020,Amazon,,10.67,debit,Shopping,,,
9/15/2020,ConEd,,155.93,debit,Utilities,,,
9/14/2020,KRUA SIAM INC   ,,14.1,debit,Work Lunch & Takeout,,,
9/13/2020,RARITAN RARITAN ,,15.25,debit,Transportation,,,
9/13/2020,Grocery Store,,55.04,debit,Groceries,,,
9/13/2020,Landromat,,24.35,debit,Laundromat,,,
9/11/2020,UDON LAB  ,,82.77,debit,Restaurants,,,
9/11/2020,Company - 2,,1500,credit,Paycheck - Source 2,,,
9/10/2020,XYZ Financial Firm,,500,debit,Investment - Source 2,,,
9/9/2020,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
9/9/2020,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
9/9/2020,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
9/9/2020,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
9/9/2020,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
9/8/2020,Grocery Store,,93.11,debit,Groceries,,,
9/8/2020,"WOK  ON THIRD,  ",,22.7,debit,Work Lunch & Takeout,,,
9/8/2020,ATM Fee Reimbursement,,1,credit,ATM Fee,,,
9/8/2020,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
9/8/2020,Ally Interest Paid,,0.37,credit,Interest Income,,,
9/8/2020,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
9/8/2020,Ally Interest Paid,,4.47,credit,Interest Income,,,
9/7/2020,Taco Bell,,15.87,debit,Work Lunch & Takeout,,,
9/6/2020,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
9/6/2020,Agora Turkish Restaurant,,87.91,debit,Restaurants,,,
9/6/2020,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
9/6/2020,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
9/5/2020,Wine & Spirits,,23.95,debit,Liquor Store,,,
9/4/2020,Grocery Store,,20.22,debit,Groceries,,,
9/3/2020,Pho Shop,,30.38,debit,Work Lunch & Takeout,,,
9/3/2020,Target,,4.34,debit,Home Supplies,,,
9/3/2020,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
9/3/2020,Company - 1,,1500,credit,Paycheck - Source 1,,,
9/2/2020,CVS,,9.84,debit,Medical & Health,,,
9/2/2020,Amazon web services,,1.04,debit,Subscriptions,,,
9/2/2020,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
9/2/2020,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
9/2/2020,PayPal,,4.99,debit,Subscriptions,,,
9/2/2020,XYZ Financial Firm,,500,debit,Investment - Source 1,,,
9/2/2020,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
9/2/2020,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
9/1/2020,Bistro,,7.59,debit,Work Lunch & Takeout,,,
9/1/2020,MEALPAL MEALPAL.COM ,,48.28,debit,Work Lunch & Takeout,,,
9/1/2020,Target,,59.99,debit,Home Supplies,,,
9/1/2020,Target,,40.06,debit,Home Supplies,,,
9/1/2020,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
9/1/2020,Check Piad,,2000,debit,Rent,,,
8/30/2020,Grocery Store,,108.06,debit,Groceries,,,
8/29/2020,Cork by Harrison Path,,11.72,debit,Liquor Store,,,
8/28/2020,Spotify,,15.94,debit,Subscriptions,,,
8/28/2020,Company - 2,,1500,credit,Paycheck - Source 2,,,
8/27/2020,Domino's Pizza,,21.74,debit,Work Lunch & Takeout,,,
8/27/2020,Domino's Pizza,,3.31,debit,Work Lunch & Takeout,,,
8/27/2020,"WOK  ON THIRD,  ",,22.7,debit,Work Lunch & Takeout,,,
8/27/2020,Verizon Wireless,,84.59,debit,Mobile Phone,,,
8/26/2020,Bistro,,11.43,debit,Work Lunch & Takeout,,,
8/26/2020,MEDIUM MONTHLY,,5,debit,Subscriptions,,,
8/25/2020,TRI DIM SHANGHAI  ,,36.75,debit,Work Lunch & Takeout,,,
8/24/2020,Wine & Spirits,,55.48,debit,Liquor Store,,,
8/24/2020,KRUA SIAM INC   ,,28.2,debit,Work Lunch & Takeout,,,
8/22/2020,McDonald's,,6.67,debit,Work Lunch & Takeout,,,
8/22/2020,Dunkin Donuts,,6.15,debit,Work Lunch & Takeout,,,
8/22/2020,Dunkin Donuts,,4.63,debit,Work Lunch & Takeout,,,
8/21/2020,Dri Logitech Orderfind.com,,76.21,credit,Electronics,,,
8/21/2020,M&J BAGEL STORE BAKERY DELANESVILLE ,,12.2,debit,Work Lunch & Takeout,,,
8/20/2020,CRUNCHYROLL,,8.49,debit,Subscriptions,,,
8/20/2020,SPECTRUM WOODSIDE ,,49.99,debit,Internet,,,
8/20/2020,Grocery Store,,127.07,debit,Groceries,,,
8/20/2020,CVS,,6.69,debit,Medical & Health,,,
8/20/2020,Company - 1,,1500,credit,Paycheck - Source 1,,,
8/19/2020,Bistro,,11.43,debit,Work Lunch & Takeout,,,
8/18/2020,Grocery Store,,71.14,debit,Groceries,,,
8/18/2020,NEW PALTZ KAYAKING New Paltz ,,145.8,debit,Entertainment,,,
8/17/2020,Landromat,,27.5,debit,Laundromat,,,
8/17/2020,"Spice Grill, ",,18.99,debit,Work Lunch & Takeout,,,
8/16/2020,HAWTHORNES BEER BOUTIQ PHILADELPHIA PA,,19.2,debit,Restaurants,,,
8/16/2020,CHICKEN INSIDER ,,10.88,debit,Work Lunch & Takeout,,,
8/16/2020,Cheu Fishtown,,71.56,debit,Restaurants,,,
8/15/2020,Café,,57,debit,Restaurants,,,
8/15/2020,MORGAN'S PIER PHILADELPHIA PA,,6.4,debit,Restaurants,,,
8/15/2020,Tradesmans,,36.17,debit,Restaurants,,,
8/14/2020,Staples,,26.11,debit,Home Supplies,,,
8/14/2020,ConEd,,191.97,debit,Utilities,,,
8/14/2020,Company - 2,,1500,credit,Paycheck - Source 2,,,
8/14/2020,JAGEX,,25.99,debit,Subscriptions,,,
8/13/2020,Hair Salon,,42,debit,Personal Care,,,
8/13/2020,Abercrombie & Fitch,,71.04,credit,Clothing,,,
8/13/2020,ATM Fee,,1,debit,ATM Fee,,,
8/13/2020,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
8/12/2020,Wine & Spirits,,50.05,debit,Liquor Store,,,
8/12/2020,CVS,,19.09,debit,Medical & Health,,,
8/11/2020,Cash Back Rewards,,225,credit,Cash Back Rewards,,,
8/11/2020,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
8/11/2020,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
8/10/2020,Bistro,,7.59,debit,Work Lunch & Takeout,,,
8/10/2020,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
8/10/2020,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
8/10/2020,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
8/10/2020,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
8/10/2020,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
8/10/2020,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
8/10/2020,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
8/10/2020,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
8/10/2020,XYZ Financial Firm,,500,debit,Investment - Source 1,,,
8/9/2020,Pizzeria,,27,debit,Work Lunch & Takeout,,,
8/9/2020,CORNER BAKERY,,17.31,debit,Work Lunch & Takeout,,,
8/8/2020,Ally Interest Paid,,0.33,credit,Interest Income,,,
8/8/2020,Ally Interest Paid,,5.57,credit,Interest Income,,,
8/6/2020,Pho Shop,,31.4,debit,Work Lunch & Takeout,,,
8/6/2020,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
8/6/2020,Grocery Store,,100.93,debit,Groceries,,,
8/6/2020,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
8/6/2020,Company - 1,,1500,credit,Paycheck - Source 1,,,
8/5/2020,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
8/5/2020,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
8/5/2020,Bistro,,7.59,debit,Work Lunch & Takeout,,,
8/5/2020,"WOK  ON THIRD,  ",,20.7,debit,Work Lunch & Takeout,,,
8/5/2020,Amazon,,81.65,debit,Electronics,,,
8/5/2020,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
8/5/2020,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
8/3/2020,PayPal,,4.99,debit,Subscriptions,,,
8/3/2020,Amazon web services,,1.05,debit,Subscriptions,,,
8/2/2020,LITTLE BROTHERS BEVEFLEMINGTON ,,46.87,debit,Liquor Store,,,
8/2/2020,McDonald's,,21.27,debit,Work Lunch & Takeout,,,
8/1/2020,Wawa,,26.44,debit,Transportation,,,
8/1/2020,Lyft,,11.1,debit,Transportation,,,
8/1/2020,KRUA SIAM INC   ,,19.54,debit,Work Lunch & Takeout,,,
8/1/2020,Abercrombie & Fitch,,211.39,debit,Clothing,,,
8/1/2020,Check Piad,,2000,debit,Rent,,,
7/31/2020,Landromat,,18.05,debit,Laundromat,,,
7/31/2020,Company - 2,,1500,credit,Paycheck - Source 2,,,
7/29/2020,MAGNETO BOARDS -- CA,,119.99,debit,Entertainment,,,
7/29/2020,XYZ Financial Firm,,500,debit,Investment - Source 2,,,
7/29/2020,Verizon Wireless,,87.07,debit,Mobile Phone,,,
7/28/2020,Spotify,,15.94,debit,Subscriptions,,,
7/28/2020,CVS,,1.31,debit,Medical & Health,,,
7/27/2020,Grocery Store,,12.52,debit,Groceries,,,
7/27/2020,MOKJA ,,30.44,debit,Work Lunch & Takeout,,,
7/27/2020,PayPal,,1.4,debit,Subscriptions,,,
7/27/2020,Amazon,,3.94,debit,Shopping,,,
7/27/2020,PINGS C INC,,62.69,debit,Restaurants,,,
7/26/2020,MEDIUM MONTHLY,,5,debit,Subscriptions,,,
7/24/2020,Café,,6.8,debit,Work Lunch & Takeout,,,
7/24/2020,Café,,1.49,debit,Work Lunch & Takeout,,,
7/23/2020,Wine & Spirits,,34.83,debit,Liquor Store,,,
7/23/2020,Grocery Store,,151.08,debit,Groceries,,,
7/23/2020,Company - 1,,1500,credit,Paycheck - Source 1,,,
7/23/2020,Banana Republic,,73.96,credit,Clothing,,,
7/22/2020,"Spice Grill, ",,33.7,debit,Work Lunch & Takeout,,,
7/22/2020,Banana Republic,,39.75,credit,Clothing,,,
7/22/2020,Banana Republic,,26.49,credit,Clothing,,,
7/21/2020,CRUNCHYROLL,,8.49,debit,Subscriptions,,,
7/21/2020,E-ZPass,,25,debit,Transportation,,,
7/20/2020,SPECTRUM WOODSIDE ,,49.99,debit,Internet,,,
7/20/2020,"WOK  ON THIRD,  ",,10.35,debit,Work Lunch & Takeout,,,
7/19/2020,Grocery Store,,36.52,debit,Groceries,,,
7/19/2020,Wine & Spirits,,30.46,debit,Liquor Store,,,
7/19/2020,Amazon web services,,12,debit,Subscriptions,,,
7/18/2020,Café,,75.01,debit,Restaurants,,,
7/18/2020,"Spice Grill, ",,8.92,debit,Work Lunch & Takeout,,,
7/17/2020,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
7/17/2020,Company - 2,,1500,credit,Paycheck - Source 2,,,
7/17/2020,ConEd,,149.77,debit,Utilities,,,
7/16/2020,Grocery Store,,14.28,debit,Groceries,,,
7/16/2020,Amazon,,40.27,debit,Shopping,,,
7/16/2020,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
7/16/2020,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
7/15/2020,DRI*LOGITECH STORE ORDERFIND.COM MN,,76.2,debit,Electronics,,,
7/14/2020,Banana Republic,,61.98,debit,Clothing,,,
7/13/2020,Bistro,,7.59,debit,Work Lunch & Takeout,,,
7/13/2020,"WOK  ON THIRD,  ",,38.75,debit,Work Lunch & Takeout,,,
7/13/2020,XYZ Financial Firm,,500,debit,Investment - Source 1,,,
7/12/2020,Grocery Store,,79.69,debit,Groceries,,,
7/12/2020,CORNER BAKERY,,4.25,debit,Work Lunch & Takeout,,,
7/11/2020,DRI*LOGITECH STORE ORDERFIND.COM MN,,76.21,debit,Electronics,,,
7/11/2020,Nomad,,75.15,debit,Restaurants,,,
7/10/2020,McDonald's,,9.68,debit,Work Lunch & Takeout,,,
7/10/2020,Landromat,,27.5,debit,Laundromat,,,
7/9/2020,METROCARD,,4.25,debit,Transportation,,,
7/9/2020,Grocery Store,,25.25,debit,Groceries,,,
7/9/2020,KRUA SIAM INC   ,,25.38,debit,Work Lunch & Takeout,,,
7/9/2020,Company - 1,,1500,credit,Paycheck - Source 1,,,
7/9/2020,Banana Republic,,126.75,debit,Clothing,,,
7/8/2020,Gourmet Deli,,2.08,debit,Work Lunch & Takeout,,,
7/8/2020,"Spice Grill, ",,8.92,debit,Work Lunch & Takeout,,,
7/8/2020,Nordstrom,,56.4,credit,Clothing,,,
7/8/2020,Ally Interest Paid,,5,credit,Interest Income,,,
7/8/2020,Ally Interest Paid,,0.46,credit,Interest Income,,,
7/7/2020,CVS,,10.66,debit,Medical & Health,,,
7/1/2020,Check Piad,,2000,debit,Rent,,,
7/6/2020,Pret A Manger,,6.9,debit,Work Lunch & Takeout,,,
7/6/2020,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
7/6/2020,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
7/6/2020,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
7/6/2020,Banana Republic,,31.99,debit,Clothing,,,
7/6/2020,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
7/6/2020,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
7/6/2020,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
7/6/2020,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
7/5/2020,Domino's Pizza,,22.01,debit,Work Lunch & Takeout,,,
7/5/2020,Best Buy,,96.89,debit,Electronics,,,
7/4/2020,Cork by Harrison Path,,57.55,debit,Liquor Store,,,
7/3/2020,Google Storage,,194.89,credit,Electronics,,,
7/3/2020,Madam Zhu's Kitchen,,55.91,debit,Restaurants,,,
7/3/2020,Amazon web services,,0.54,debit,Subscriptions,,,
7/3/2020,Company - 2,,1500,credit,Paycheck - Source 2,,,
7/3/2020,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
7/3/2020,Cash Back Rewards,,135.36,credit,Cash Back Rewards,,,
7/3/2020,UNCLE FUNKYS BOARDS ,,19.6,debit,Goods,,,
7/3/2020,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
7/3/2020,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
7/3/2020,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
7/3/2020,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
7/2/2020,Cash Back Rewards,,49.91,credit,Cash Back Rewards,,,
7/2/2020,PayPal,,4.99,debit,Subscriptions,,,
6/30/2020,"Spice Grill, ",,34.7,debit,Work Lunch & Takeout,,,
6/30/2020,XYZ Financial Firm,,500,debit,Investment - Source 2,,,
6/30/2020,Target,,3.27,debit,Home Supplies,,,
6/30/2020,Target,,59.21,debit,Home Supplies,,,
6/29/2020,Gourmet Deli,,5.95,debit,Work Lunch & Takeout,,,
6/29/2020,Landromat,,19.6,debit,Laundromat,,,
6/29/2020,Verizon Wireless,,84.01,debit,Mobile Phone,,,
6/29/2020,USPS,,2.75,debit,Shipping,,,
6/28/2020,Spotify,,15.94,debit,Subscriptions,,,
6/28/2020,Noches De Margaritas,,36.75,debit,Work Lunch & Takeout,,,
6/27/2020,Grocery Store,,114.64,debit,Groceries,,,
6/27/2020,Grocery Store,,10.21,debit,Groceries,,,
6/26/2020,"WOK  ON THIRD,  ",,21.7,debit,Work Lunch & Takeout,,,
6/26/2020,MEDIUM MONTHLY,,5,debit,Subscriptions,,,
6/25/2020,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
6/25/2020,Company - 1,,1500,credit,Paycheck - Source 1,,,
6/25/2020,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
6/25/2020,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
6/25/2020,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
6/25/2020,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
6/25/2020,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
6/25/2020,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
6/25/2020,transfer and/or payments,,1000,debit,Hide from Budgets & Trends,,,
6/25/2020,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
6/25/2020,transfer and/or payments,,1000,credit,Hide from Budgets & Trends,,,
